5-MCDG_1	5-MCDG	thymine DNA glycosylase 
RPL27A_1	RPL27A	ribosomal protein L27a 
RPL27_1	RPL27	ribosomal protein L27 
RPL29_1	RPL29	ribosomal protein L29 
RPL30_1	RPL30	60S ribosomal protein L30 
RPL31_1	RPL31	ribosomal protein L31 
RPL32_1	RPL32	ribosomal protein L32 
RPL34_1	RPL34	ribosomal protein L34 
RPL35_1	RPL35	60S ribosomal protein L35 
RPL36_1	RPL36	60S ribosomal protein L36 
RPL37A_1	RPL37A	60S ribosomal protein L37a 
RPL37_1	RPL37	
RPL38_1	RPL38	ribosomal protein L38 
RPL3L_1	RPL3L	ribosomal protein L3 like 
RPL3_1	RPL3	ribosomal protein L3 
RPL4_1	RPL4	ribosomal protein L4 
RPL5_1	RPL5	60S ribosomal protein L5 
RPL6_1	RPL6	ribosomal protein L6 
RPL7A_1	RPL7A	60S ribosomal protein L7a 
RPL7L1_1	RPL7L1	ribosomal protein L7 like 1 
RPL7_1	RPL7	60S ribosomal protein L7 
RPL8_1	RPL8	ribosomal protein L8 
RPL9_1	RPL9	ribosomal protein L9 
RPLP0_1	RPLP0	60S acidic ribosomal protein P0 
RPLP1_1	RPLP1	60S acidic ribosomal protein P1 
RPLP2_1	RPLP2	ribosomal protein lateral stalk subunit P2 
RPN1_1	RPN1	ribophorin I 
RPN1_2	RPN1	ribophorin I 
RPN2_1	RPN2	ribophorin II 
RPP30_1	RPP30	ribonuclease P/MRP subunit p30 
RPP30_2	RPP30	ribonuclease P/MRP subunit p30 
RPP38_1	RPP38	ribonuclease P/MRP subunit p38 
RPP40_1	RPP40	ribonuclease P/MRP subunit p40 
RPRD1A_1	RPRD1A	regulation of nuclear pre-mRNA domain containing 1A 
RPRD2_1	RPRD2	regulation of nuclear pre-mRNA domain containing 2 
RPRD2_2	RPRD2	regulation of nuclear pre-mRNA domain containing 2 
RPS10-NUDT3_1	RPS10-NUDT3	RPS10-NUDT3 readthrough 
RPS12_1	RPS12	ribosomal protein S12 
RPS13_1	RPS13	ribosomal protein S13 
RPS14_1	RPS14	ribosomal protein S14 
RPS15A_1	RPS15A	ribosomal protein S15a 
RPS15_1	RPS15	40S ribosomal protein S15 
RPS16_1	RPS16	ribosomal protein S16 
RPS17_1	RPS17	40S ribosomal protein S17 
RPS19BP1_1	RPS19BP1	ribosomal protein S19 binding protein 1 
RPS20_1	RPS20	ribosomal protein S20 
RPS21_1	RPS21	ribosomal protein S21 
RPS23_1	RPS23	
RPS24_1	RPS24	40S ribosomal protein S24 isoform 1 
RPS25_1	RPS25	ribosomal protein S25 
RPS26_1	RPS26	ribosomal protein S26 
RPS27A_1	RPS27A	Ubiquitin-40S ribosomal protein S27a Ubiquitin 40S ribosomal protein S27a 
RPS27L_1	RPS27L	ribosomal protein S27 like 
RPS28_1	RPS28	ribosomal protein S28 
RPS2_1	RPS2	ribosomal protein S2 
RPS3A_1	RPS3A	ribosomal protein S3A 
RPS3_1	RPS3	ribosomal protein S3 
RPS4_1	RPS4	40S ribosomal protein S4 
RPS6KA5_1	RPS6KA5	Ribosomal protein S6 kinase alpha-5 
RPS6KA_1	RPS6KA	Ribosomal protein S6 kinase 2 alpha 
RPS6KB1_1	RPS6KB1	ribosomal protein S6 kinase B1 
RPS6_1	RPS6	
RPS7_1	RPS7	ribosomal protein S7 
RPS8_1	RPS8	ribosomal protein S8 
RPSA_1	RPSA	40S ribosomal protein SA 
RPUSD2_1	RPUSD2	RNA pseudouridylate synthase domain containing 2 
RPUSD4_1	RPUSD4	RNA pseudouridylate synthase domain containing 4 
RRAD_1	RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator 
RRAGC_1	RRAGC	ras-related GTP-binding protein C 
RRAS2_1	RRAS2	RAS related 2 
RRBP1_1	RRBP1	ribosome binding protein 1 
RREB1_1	RREB1	ras responsive element binding protein 1 
RREB1_2	RREB1	ras responsive element binding protein 1 
RRM1_1	RRM1	ribonucleotide reductase catalytic subunit M1 
RRM1_2	RRM1	ribonucleotide reductase catalytic subunit M1 
RRM2B_1	RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B 
RRN3_1	RRN3	RRN3 homolog, RNA polymerase I transcription factor 
RRP15_1	RRP15	ribosomal RNA processing 15 homolog 
RRP36_1	RRP36	ribosomal RNA processing 36 
RRP7A_1	RRP7A	ribosomal RNA processing 7 homolog A 
RRP9_1	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein 
RS1_1	RS1	retinoschisin 1 
RSF1_1	RSF1	remodeling and spacing factor 1 
RSL1D1_1	RSL1D1	ribosomal L1 domain containing 1 
RSL24D1_1	RSL24D1	ribosomal L24 domain containing 1 
RSPH9_1	RSPH9	radial spoke head 9 homolog 
RSPO1_1	RSPO1	R-spondin 1 
RSPO2_1	RSPO2	R-spondin 2 
RSPO4_1	RSPO4	R-spondin 4 
RSRC1_1	RSRC1	arginine and serine rich coiled-coil 1 
RSRC2_1	RSRC2	arginine and serine rich coiled-coil 2 
RSU1_1	RSU1	Ras suppressor protein 1 
RSU1_2	RSU1	Ras suppressor protein 1 
RTFDC1_1	RTFDC1	replication termination factor 2 domain containing 1 
RTKN2_1	RTKN2	rhotekin 2 
RTKN2_2	RTKN2	rhotekin 2 
RTN1_1	RTN1	reticulon 1 
RTN1_2	RTN1	reticulon 1 
RTN4IP1_1	RTN4IP1	reticulon 4 interacting protein 1 
RTN4_1	RTN4	reticulon 4 
RTN4_2	RTN4	reticulon 4 
RTN4_3	RTN4	reticulon 4 
RTRAF_1	RTRAF	RNA transcription, translation and transport factor 
RUFY1_1	RUFY1	RUN and FYVE domain containing 1 
RUFY3_1	RUFY3	RUN and FYVE domain containing 3 
RUNDC1_1	RUNDC1	RUN domain containing 1 
RUNDC3B_1	RUNDC3B	RUN domain containing 3B 
RUNX1T1_1	RUNX1T1	RUNX1 translocation partner 1 
RUSC2_1	RUSC2	
RUVBL1_1	RUVBL1	RuvB like AAA ATPase 1 
RWDD1_1	RWDD1	RWD domain containing 1 
RWDD2A_1	RWDD2A	RWD domain containing 2A 
RWDD2B_1	RWDD2B	RWD domain containing 2B 
RWDD3_1	RWDD3	RWD domain containing 3 
RWDD4_1	RWDD4	RWD domain containing 4 
RXRA_1	RXRA	retinoid X receptor alpha 
RYR3_1	RYR3	ryanodine receptor 3 
Rchy1_1	Rchy1	ring finger and CHY zinc finger domain containing 1 
S100A10_1	S100A10	Protein S100-A10 
S100A11_1	S100A11	Protein S100-A11 
S100A13_1	S100A13	S100 calcium binding protein A13 
S100A1_1	S100A1	S100 calcium binding protein A1 
S100A6_1	S100A6	Protein S100-A6 
S100B_1	S100B	S100 calcium binding protein B 
SAAL1_1	SAAL1	serum amyloid A like 1 
SALL1_1	SALL1	sal-like protein 1 
SALL1_2	SALL1	sal-like protein 1 
SALL4_1	SALL4	spalt like transcription factor 4 
SAMD10_1	SAMD10	sterile alpha motif domain containing 10 
SAMD13_1	SAMD13	sterile alpha motif domain containing 13 
SAMD4B_1	SAMD4B	sterile alpha motif domain containing 4B 
SAMHD1_1	SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1 
SAMM50_1	SAMM50	SAMM50 sorting and assembly machinery component 
SAP130_1	SAP130	Sin3A associated protein 130 
SAP18_1	SAP18	Sin3A associated protein 18 
SAP30BP_1	SAP30BP	SAP30 binding protein 
SAR1A_1	SAR1A	secretion associated Ras related GTPase 1A 
SAR1B_1	SAR1B	secretion associated Ras related GTPase 1B 
SAR1B_2	SAR1B	secretion associated Ras related GTPase 1B 
SARAF_1	SARAF	store-operated calcium entry associated regulatory factor 
SARS_1	SARS	seryl-tRNA synthetase 
SASH1_1	SASH1	SAM and SH3 domain containing 1 
SASH3_1	SASH3	SAM and SH3 domain containing 3 
SASS6_1	SASS6	SAS-6 centriolar assembly protein 
SAT1_1	SAT1	Diamine acetyltransferase 1 
SATB1_1	SATB1	SATB homeobox 1 
SAYSD1_1	SAYSD1	SAYSVFN motif domain containing 1 
SBDS_1	SBDS	SBDS, ribosome maturation factor 
SBF1_1	SBF1	SET binding factor 1 
SBF2_1	SBF2	SET binding factor 2 
SBNO1_1	SBNO1	Protein strawberry notch homolog 1 
SBSPON_1	SBSPON	somatomedin B and thrombospondin type 1 domain containing 
SCAMP1_1	SCAMP1	
SCAMP2_1	SCAMP2	secretory carrier membrane protein 2 
SCAMP3_1	SCAMP3	secretory carrier membrane protein 3 
SCAMP5_1	SCAMP5	secretory carrier membrane protein 5 
SCAP_1	SCAP	SREBF chaperone 
SCARB2_1	SCARB2	scavenger receptor class B member 2 
SCCPDH_1	SCCPDH	saccharopine dehydrogenase 
SCD5_1	SCD5	stearoyl-CoA desaturase 5 
SCD5_2	SCD5	stearoyl-CoA desaturase 5 
SCD_1	SCD	stearoyl-CoA desaturase 
SCFD1_1	SCFD1	sec1 family domain containing 1 
SCG3_1	SCG3	secretogranin-3 isoform 2 precursor 
SCG5_1	SCG5	secretogranin V 
SCIN_1	SCIN	Adseverin 
SCNN1A_1	SCNN1A	sodium channel epithelial 1 alpha subunit 
SCNN1A_2	SCNN1A	sodium channel epithelial 1 alpha subunit 
SCO1_1	SCO1	SCO1, cytochrome c oxidase assembly protein 
SCOC_1	SCOC	short coiled-coil protein 
SCP2_1	SCP2	sterol carrier protein 2 
SCP2_2	SCP2	sterol carrier protein 2 
SCPEP1_1	SCPEP1	serine carboxypeptidase 1 
SCRN1_1	SCRN1	secernin 1 
SCRN3_1	SCRN3	secernin 3 
SCRN3_2	SCRN3	secernin 3 
SCT_1	SCT	secretin precursor 
SCYL2_1	SCYL2	SCY1 like pseudokinase 2 
SCYL3_1	SCYL3	protein-associating with the carboxyl-terminal domain of ezrin 
SDAD1_1	SDAD1	SDA1 domain containing 1 
SDC2_1	SDC2	syndecan 2 
SDC3_1	SDC3	syndecan 3 
SDC4_1	SDC4	syndecan 4 
SDCBP_1	SDCBP	syndecan binding protein 
SDF1_1	SDF1	C-X-C motif chemokine ligand 12 
SDF2L1_1	SDF2L1	stromal cell derived factor 2 like 1 
SDF2_1	SDF2	stromal cell derived factor 2 
SDF4_1	SDF4	45 kDa calcium-binding protein 
SDHAF3_1	SDHAF3	succinate dehydrogenase complex assembly factor 3 
SDHAF4_1	SDHAF4	succinate dehydrogenase complex assembly factor 4 
SDHB_1	SDHB	succinate dehydrogenase complex iron sulfur subunit B 
SDHB_2	SDHB	succinate dehydrogenase complex iron sulfur subunit B 
SDK1_1	SDK1	sidekick cell adhesion molecule 1 
SDK2_1	SDK2	sidekick cell adhesion molecule 2 
SDOS_1	SDOS	Protein syndesmos 
SDR42E1_1	SDR42E1	short chain dehydrogenase/reductase family 42E, member 1 
SDSL_1	SDSL	serine dehydratase like 
SEC11A_1	SEC11A	SEC11 homolog A, signal peptidase complex subunit 
SEC11C_1	SEC11C	
SEC22A_1	SEC22A	SEC22 homolog A, vesicle trafficking protein 
SEC22B_1	SEC22B	Vesicle-trafficking protein SEC22b 
SEC23B_1	SEC23B	Sec23 homolog B, coat complex II component 
SEC24A_1	SEC24A	SEC24 homolog A, COPII coat complex component 
SEC24B_1	SEC24B	SEC24 homolog B, COPII coat complex component 
SEC31A_1	SEC31A	protein transport protein Sec31A 
SEC31A_2	SEC31A	protein transport protein Sec31A 
SEC31B_1	SEC31B	SEC31 homolog B, COPII coat complex component 
SEC61A2_1	SEC61A2	Sec61 translocon alpha 2 subunit 
SEC61B_1	SEC61B	Sec61 translocon beta subunit 
SEC61G_1	SEC61G	Sec61 translocon gamma subunit 
SEC62_1	SEC62	SEC62 homolog, preprotein translocation factor 
SEH1L_1	SEH1L	SEH1 like nucleoporin 
SELENOF_1	SELENOF	15 kDa selenoprotein precursor 
SELENOO_1	SELENOO	selenoprotein O 
SELENOT_1	SELENOT	selenoprotein T 
SELK_1	SELK	selenoprotein K 
SELM_1	SELM	selenoprotein M precursor 
SEMA3B_1	SEMA3B	semaphorin 3B 
SEMA3B_2	SEMA3B	semaphorin 3B 
SEMA3D_1	SEMA3D	semaphorin 3D 
SEMA3F_1	SEMA3F	semaphorin-3F precursor 
SEMA3F_2	SEMA3F	semaphorin-3F precursor 
SEMA6A_1	SEMA6A	
SEMA7A_1	SEMA7A	semaphorin 7A 
SENP5_1	SENP5	SUMO1/sentrin specific peptidase 5 
SENP6_1	SENP6	SUMO1/sentrin specific peptidase 6 
SEPHS1_1	SEPHS1	selenophosphate synthetase 1 
SEPN1_1	SEPN1	selenoprotein N, 1 precursor 
SEPSECS_1	SEPSECS	Sep (O-phosphoserine) tRNA:Sec tRNA synthase 
SEPT11_1	SEPT11	septin 11 
SEPT3_1	SEPT3	septin 3 
SEPT5_1	SEPT5	septin 5 
SEPT6_1	SEPT6	septin 6 
SEPT7_1	SEPT7	septin-7 
SEPT8_1	SEPT8	septin 8 
SEPT9_1	SEPT9	septin 9 
SERBP1_1	SERBP1	SERPINE1 mRNA binding protein 1 
SERHL2_1	SERHL2	serine hydrolase like 2 
SERINC2_1	SERINC2	serine incorporator 2 
SERINC3_1	SERINC3	serine incorporator 3 
SERINC5_1	SERINC5	
SERP1_1	SERP1	stress associated endoplasmic reticulum protein 1 
SERPINA10_1	SERPINA10	serpin family A member 10 
SERPINC1_1	SERPINC1	serpin family C member 1 
SERPINE2_1	SERPINE2	serpin family E member 2 
SERPINF1_1	SERPINF1	serpin family F member 1 
SERPINH1_1	SERPINH1	serpin family H member 1 
SERPINI1_1	SERPINI1	serpin family I member 1 
SERTAD2_1	SERTAD2	SERTA domain containing 2 
SERTAD2_2	SERTAD2	SERTA domain containing 2 
SERTM1_1	SERTM1	serine rich and transmembrane domain containing 1 
SESN1_1	SESN1	sestrin 1 
SETD1B_1	SETD1B	SET domain containing 1B 
SETD3_1	SETD3	histone-lysine N-methyltransferase setd3 
SETD6_1	SETD6	SET domain containing 6 
SETD7_1	SETD7	SET domain containing lysine methyltransferase 7 
SF3A1_1	SF3A1	splicing factor 3a subunit 1 
SF3A2_1	SF3A2	splicing factor 3a subunit 2 
SF3A3_1	SF3A3	splicing factor 3a subunit 3 
SF3B5_1	SF3B5	splicing factor 3b subunit 5 
SF3B6_1	SF3B6	splicing factor 3b subunit 6 
SFN_1	SFN	stratifin 
SFPQ_1	SFPQ	splicing factor proline and glutamine rich 
SFR1_1	SFR1	Swi5-dependent recombination DNA repair protein 1 homolog 
SFR1_2	SFR1	Swi5-dependent recombination DNA repair protein 1 homolog 
SFRP1_1	SFRP1	secreted frizzled related protein 1 
SFRP2_1	SFRP2	secreted frizzled related protein 2 
SFRP4_1	SFRP4	secreted frizzled related protein 4 
SFRP5_1	SFRP5	secreted frizzled related protein 5 
SFT2D1_1	SFT2D1	SFT2 domain containing 1 
SFT2D1_2	SFT2D1	SFT2 domain containing 1 
SFT2D2_1	SFT2D2	SFT2 domain containing 2 
SFXN1_1	SFXN1	sideroflexin-1 
SFXN4_1	SFXN4	sideroflexin 4 
SFXN5_1	SFXN5	sideroflexin 5 
SFXN5_2	SFXN5	sideroflexin 5 
SGCB_1	SGCB	sarcoglycan beta 
SGCG_1	SGCG	sarcoglycan gamma 
SGCG_2	SGCG	sarcoglycan gamma 
SGK1_1	SGK1	serum/glucocorticoid regulated kinase 1 
SGK3_1	SGK3	
SGMS1_1	SGMS1	sphingomyelin synthase 1 
SGMS1_2	SGMS1	sphingomyelin synthase 1 
SGMS2_1	SGMS2	sphingomyelin synthase 2 
SGO1_1	SGO1	shugoshin 1 
SGSH_1	SGSH	N-sulfoglucosamine sulfohydrolase 
SGTA_1	SGTA	small glutamine rich tetratricopeptide repeat containing alpha 
SGTB_1	SGTB	
SH2D3C_1	SH2D3C	SH2 domain containing 3C 
SH3BGRL3_1	SH3BGRL3	SH3 domain binding glutamate rich protein like 3 
SH3BGRL_1	SH3BGRL	SH3 domain binding glutamate rich protein like 
SH3BGR_1	SH3BGR	SH3 domain binding glutamate rich protein 
SH3BP2_1	SH3BP2	SH3 domain binding protein 2 
SH3BP2_2	SH3BP2	SH3 domain binding protein 2 
SH3BP5_1	SH3BP5	SH3 domain binding protein 5 
SH3GL1_1	SH3GL1	SH3 domain containing GRB2 like 1, endophilin A2 
SH3GL2_1	SH3GL2	
SH3GL3_1	SH3GL3	SH3 domain containing GRB2 like 3, endophilin A3 
SH3GLB1_1	SH3GLB1	SH3 domain containing GRB2 like, endophilin B1 
SH3GLB2_1	SH3GLB2	Endophilin-B2 
SH3KBP1_1	SH3KBP1	SH3 domain containing kinase binding protein 1 
SH3KBP1_2	SH3KBP1	SH3 domain containing kinase binding protein 1 
SH3PXD2B_1	SH3PXD2B	SH3 and PX domains 2B 
SH3RF1_1	SH3RF1	SH3 domain containing ring finger 1 
SH3RF3_1	SH3RF3	SH3 domain containing ring finger 3 
SHC2_1	SHC2	SHC adaptor protein 2 
SHC3_1	SHC3	
SHC3_2	SHC3	
SHCBP1_1	SHCBP1	SHC binding and spindle associated 1 
SHH_1	SHH	sonic hedgehog 
SHISA2_1	SHISA2	shisa family member 2 
SHISA5_1	SHISA5	shisa family member 5 
SHOC2_1	SHOC2	SHOC2, leucine rich repeat scaffold protein 
SIAH1_1	SIAH1	siah E3 ubiquitin protein ligase 1 
SIAH3_1	SIAH3	siah E3 ubiquitin protein ligase family member 3 
SIAT9_1	SIAT9	ST3 beta-galactoside alpha-2,3-sialyltransferase 5 
SIGIRR_1	SIGIRR	single Ig and TIR domain containing 
SIGMAR1_1	SIGMAR1	
SIKE1_1	SIKE1	suppressor of IKBKE 1 
SIL1_1	SIL1	SIL1 nucleotide exchange factor 
SIL1_2	SIL1	SIL1 nucleotide exchange factor 
SINHCAF_1	SINHCAF	SIN3-HDAC complex associated factor 
SIRT2_1	SIRT2	sirtuin 2 
SIRT4_1	SIRT4	sirtuin 4 
SIRT4_2	SIRT4	sirtuin 4 
SIRT5_1	SIRT5	NAD-dependent protein deacylase sirtuin-5, mitochondrial 
SIRT6_1	SIRT6	sirtuin 6 
SIRT7_1	SIRT7	sirtuin 7 
SIVA1_1	SIVA1	SIVA1 apoptosis inducing factor 
SIX6_1	SIX6	SIX homeobox 6 
SKA2_1	SKA2	spindle and kinetochore associated complex subunit 2 
SKA3_1	SKA3	spindle and kinetochore associated complex subunit 3 
SKAP2_1	SKAP2	src kinase associated phosphoprotein 2 
SKIL_1	SKIL	SKI like proto-oncogene 
SLAIN1_1	SLAIN1	SLAIN motif family member 1 
SLAIN1_2	SLAIN1	SLAIN motif family member 1 
SLAIN2_1	SLAIN2	SLAIN motif family member 2 
SLA_1	SLA	Src like adaptor 
SLA_2	SLA	Src like adaptor 
SLBP_1	SLBP	stem-loop binding protein 
SLC10A7_1	SLC10A7	solute carrier family 10 member 7 
SLC11A1_1	SLC11A1	solute carrier family 11 member 1 
SLC12A7_1	SLC12A7	solute carrier family 12 member 7 
SLC12A9_1	SLC12A9	solute carrier family 12 member 9 
SLC13A5_1	SLC13A5	solute carrier family 13 member 5 
SLC14A1_1	SLC14A1	
SLC15A1_1	SLC15A1	solute carrier family 15 member 1 
SLC16A1_1	SLC16A1	solute carrier family 16 member 1 
SLC16A2_1	SLC16A2	solute carrier family 16 member 2 
SLC16A3_1	SLC16A3	solute carrier family 16 member 3 
SLC16A3_2	SLC16A3	solute carrier family 16 member 3 
SLC16A4_1	SLC16A4	solute carrier family 16 member 4 
SLC17A5_1	SLC17A5	solute carrier family 17 member 5 
SLC17A6_1	SLC17A6	solute carrier family 17 , member 6 
SLC17A9_1	SLC17A9	solute carrier family 17 member 9 
SLC18B1_1	SLC18B1	solute carrier family 18 member B1 
SLC19A1_1	SLC19A1	solute carrier family 19 member 1 
SLC1A2_1	SLC1A2	solute carrier family 1 member 2 
SLC20A1_1	SLC20A1	solute carrier family 20 member 1 
SLC20A2_1	SLC20A2	solute carrier family 20 member 2 
SLC20A2_2	SLC20A2	solute carrier family 20 member 2 
SLC22A16_1	SLC22A16	solute carrier family 22 member 16 
SLC22A18_1	SLC22A18	solute carrier family 22 member 18 
SLC22A7_1	SLC22A7	solute carrier family 22 member 7 
SLC25A12_1	SLC25A12	solute carrier family 25 member 12 
SLC25A12_2	SLC25A12	solute carrier family 25 member 12 
SLC25A14_1	SLC25A14	solute carrier family 25 member 14 
SLC25A17_1	SLC25A17	solute carrier family 25 member 17 
SLC25A19_1	SLC25A19	solute carrier family 25 member 19 
SLC25A20_1	SLC25A20	solute carrier family 25 member 20 
SLC25A21_1	SLC25A21	solute carrier family 25 member 21 
SLC25A22_1	SLC25A22	solute carrier family 25 member 22 
SLC25A26_1	SLC25A26	solute carrier family 25 member 26 
SLC25A29_1	SLC25A29	solute carrier family 25 member 29 
SLC25A30_1	SLC25A30	solute carrier family 25 member 30 
SLC25A32_1	SLC25A32	solute carrier family 25 member 32 
SLC25A33_1	SLC25A33	solute carrier family 25 member 33 
SLC25A33_2	SLC25A33	solute carrier family 25 member 33 
SLC25A36_1	SLC25A36	solute carrier family 25 member 36 
SLC25A37_1	SLC25A37	solute carrier family 25 member 37 
SLC25A39_1	SLC25A39	solute carrier family 25 member 39 
SLC25A3_1	SLC25A3	solute carrier family 25 member 3 
SLC25A43_1	SLC25A43	solute carrier family 25 member 43 
SLC25A46_1	SLC25A46	
SLC25A4_1	SLC25A4	solute carrier family 25 member 4 
SLC25A5_1	SLC25A5	solute carrier family 25 member 5 
SLC26A3_1	SLC26A3	solute carrier family 26 member 3 
SLC26A5_1	SLC26A5	solute carrier family 26 member 5 
SLC26A6_1	SLC26A6	solute carrier family 26 member 6 
SLC2A12_1	SLC2A12	solute carrier family 2 member 12 
SLC2A2_1	SLC2A2	solute carrier family 2 member 2 
SLC2A8_1	SLC2A8	solute carrier family 2 member 8 
SLC2A8_2	SLC2A8	solute carrier family 2 member 8 
SLC30A1_1	SLC30A1	solute carrier family 30 member 1 
SLC30A4_1	SLC30A4	solute carrier family 30 member 4 
SLC30A5_1	SLC30A5	
SLC30A6_1	SLC30A6	solute carrier family 30 member 6 
SLC30A7_1	SLC30A7	solute carrier family 30 member 7 
SLC31A1_1	SLC31A1	solute carrier family 31 member 1 
SLC31A1_2	SLC31A1	solute carrier family 31 member 1 
SLC31A1_3	SLC31A1	solute carrier family 31 member 1 
SLC34A2_1	SLC34A2	solute carrier family 34 member 2 
SLC35A1_1	SLC35A1	solute carrier family 35 member A1 
SLC35A1_2	SLC35A1	solute carrier family 35 member A1 
SLC35A3_1	SLC35A3	solute carrier family 35 member A3 
SLC35A3_2	SLC35A3	solute carrier family 35 member A3 
SLC35A4_1	SLC35A4	solute carrier family 35 member A4 
SLC35B1_1	SLC35B1	solute carrier family 35 member B1 
SLC35B3_1	SLC35B3	solute carrier family 35 member B3 
SLC35B4_1	SLC35B4	solute carrier family 35 member B4 
SLC35C2_1	SLC35C2	solute carrier family 35 member C2 
SLC35E3_1	SLC35E3	solute carrier family 35 member E3 
SLC35F2_1	SLC35F2	solute carrier family 35 member F2 
SLC35F5_1	SLC35F5	solute carrier family 35 member F5 
SLC35F6_1	SLC35F6	solute carrier family 35 member F6 
SLC35G2_1	SLC35G2	solute carrier family 35 member G2 
SLC37A2_1	SLC37A2	solute carrier family 37 member 2 
SLC37A3_1	SLC37A3	solute carrier family 37 member 3 
SLC38A2_1	SLC38A2	solute carrier family 38 member 2 
SLC38A4_1	SLC38A4	solute carrier family 38 member 4 
SLC38A6_1	SLC38A6	solute carrier family 38 member 6 
SLC38A9_1	SLC38A9	
SLC39A11_1	SLC39A11	solute carrier family 39 member 11 
SLC39A13_1	SLC39A13	solute carrier family 39 member 13 
SLC39A1_1	SLC39A1	solute carrier family 39 member 1 
SLC39A9_1	SLC39A9	solute carrier family 39 member 9 
SLC40A1_1	SLC40A1	solute carrier family 40 member 1 
SLC41A2_1	SLC41A2	solute carrier family 41 member 2 
SLC44A1_1	SLC44A1	
SLC44A3_1	SLC44A3	solute carrier family 44 member 3 
SLC44A5_1	SLC44A5	solute carrier family 44 member 5 
SLC45A2_1	SLC45A2	
SLC46A1_1	SLC46A1	solute carrier family 46 member 1 
SLC46A3_1	SLC46A3	solute carrier family 46 member 3 
SLC48A1_1	SLC48A1	Heme transporter HRG1 
SLC4A8_1	SLC4A8	solute carrier family 4 member 8 
SLC52A3_1	SLC52A3	solute carrier family 52 member 3 
SLC5A1_1	SLC5A1	solute carrier family 5 member 1 
SLC5A1_2	SLC5A1	solute carrier family 5 member 1 
SLC6A11_1	SLC6A11	solute carrier family 6 member 11 
SLC6A6_1	SLC6A6	solute carrier family 6 member 6 
SLC6A6_2	SLC6A6	solute carrier family 6 member 6 
SLC7A2_1	SLC7A2	solute carrier family 7 member 2 
SLC7A2_2	SLC7A2	solute carrier family 7 member 2 
SLC7A3_1	SLC7A3	solute carrier family 7 member 3 
SLC7A5_1	SLC7A5	solute carrier family 7 member 5 
SLC7A6OS_1	SLC7A6OS	solute carrier family 7 member 6 opposite strand 
SLC7A6_1	SLC7A6	solute carrier family 7 member 6 
SLC7A9_1	SLC7A9	solute carrier family 7 member 9 
SLC8A3_1	SLC8A3	solute carrier family 8 member A3 
SLC9A3R1_1	SLC9A3R1	SLC9A3 regulator 1 
SLC9A8_1	SLC9A8	solute carrier family 9 member A8 
SLC9A9_1	SLC9A9	solute carrier family 9 member A9 
SLCO1B3_1	SLCO1B3	
SLCO2A1_1	SLCO2A1	solute carrier organic anion transporter family member 2A1 
SLCO4A1_1	SLCO4A1	solute carrier organic anion transporter family member 4A1 
SLIRP_1	SLIRP	SRA stem-loop interacting RNA binding protein 
SLMAP_1	SLMAP	sarcolemma associated protein 
SLN_1	SLN	sarcolipin 
SLU7_1	SLU7	SLU7 homolog, splicing factor 
SLX4IP_1	SLX4IP	SLX4 interacting protein 
SMAP2_1	SMAP2	Stromal membrane-associated protein 2 
SMARCA5_1	SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 
SMARCB1_1	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 
SMARCD1_1	SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1 
SMARCE1_1	SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 
SMC2_1	SMC2	
SMC5_1	SMC5	
SMC6_1	SMC6	structural maintenance of chromosomes 6 
SMCO4_1	SMCO4	single-pass membrane protein with coiled-coil domains 4 
SMCO4_2	SMCO4	single-pass membrane protein with coiled-coil domains 4 
SMDT1_1	SMDT1	single-pass membrane protein with aspartate rich tail 1 
SMIM14_1	SMIM14	small integral membrane protein 14 
SMIM15_1	SMIM15	
SMIM18_1	SMIM18	small integral membrane protein 18 
SMIM19_1	SMIM19	small integral membrane protein 19 
SMIM20_1	SMIM20	small integral membrane protein 20 
SMIM3_1	SMIM3	small integral membrane protein 3 
SMIM4_1	SMIM4	small integral membrane protein 4 
SMIM5_1	SMIM5	small integral membrane protein 5 
SMIM8_1	SMIM8	small integral membrane protein 8 
SMKR1_1	SMKR1	small lysine rich protein 1 
SMOX_1	SMOX	spermine oxidase 
SMPD2_1	SMPD2	sphingomyelin phosphodiesterase 2 
SMPD3_1	SMPD3	sphingomyelin phosphodiesterase 3 
SMPDL3B_1	SMPDL3B	sphingomyelin phosphodiesterase acid like 3B 
SMPX_1	SMPX	small muscle protein, X-linked 
SMS_1	SMS	spermine synthase 
SMU1_1	SMU1	
SMYD1_1	SMYD1	SET and MYND domain containing 1 
SMYD1_2	SMYD1	SET and MYND domain containing 1 
SMYD2_1	SMYD2	SET and MYND domain containing 2 
SMYD2_2	SMYD2	SET and MYND domain containing 2 
SMYD4_1	SMYD4	SET and MYND domain containing 4 
SMYD5_1	SMYD5	SET and MYND domain-containing protein 5 
SNAP23_1	SNAP23	synaptosome associated protein 23 
